id,existing_score,open_to_buy,months_since_first_loan_issued,existing_credit_card_utilization,n_months_mortgage_loan_paid
1868,283.0,,,,
1869,337.0,,,,
1870,663.0,16162.0,86.0,1.0,11.0
1871,226.0,627.0,,,3.0
1872,466.0,560.0,14.0,3.0,13.0
1873,257.0,1014.0,22.0,101.0,8.0
1874,445.0,5835.0,61.0,87.0,9.0
1875,434.0,1383.0,98.0,96.0,12.0
1876,643.0,5081.0,141.0,,5.0
1877,516.0,4915.0,42.0,25.0,11.0
1878,322.0,668.0,97.0,106.0,8.0
1879,470.0,655.0,4.0,0.0,7.0
1880,322.0,132.0,,,3.0
1881,411.0,0.0,58.0,,0.0
1882,417.0,1232.0,183.0,88.0,13.0
1883,430.0,5000.0,,,7.0
1884,446.0,1248.0,8.0,2.0,5.0
1885,337.0,,10.0,,0.0
1886,163.0,127.0,0.0,95.0,0.0
1887,325.0,,,,
1888,378.0,1989.0,92.0,101.0,7.0
1889,783.0,26830.0,227.0,1.0,4.0
1890,704.0,12691.0,141.0,1.0,14.0
1891,271.0,,,,
1892,591.0,2625.0,139.0,,14.0
1893,134.0,,25.0,,0.0
1894,636.0,7280.0,290.0,42.0,13.0
1895,544.0,21041.0,117.0,18.0,14.0
1896,723.0,6202.0,109.0,9.0,12.0
1897,673.0,27097.0,323.0,14.0,12.0
1898,139.0,119.0,72.0,,11.0
1899,391.0,9419.0,58.0,87.0,12.0
1900,480.0,4173.0,156.0,97.0,10.0
1901,510.0,1183.0,148.0,,0.0
1902,361.0,348.0,72.0,102.0,12.0
1903,665.0,13219.0,222.0,24.0,13.0
1904,245.0,,96.0,,4.0
1905,614.0,8053.0,167.0,21.0,5.0
1906,413.0,459.0,37.0,0.0,4.0
1907,452.0,2271.0,78.0,15.0,10.0
1908,404.0,,,,
1909,652.0,3069.0,34.0,45.0,13.0
1910,673.0,7335.0,41.0,36.0,14.0
1911,263.0,50.0,49.0,99.0,11.0
1912,420.0,,79.0,,9.0
1913,329.0,729.0,35.0,88.0,10.0
1914,703.0,538.0,,,0.0
1915,520.0,1570.0,35.0,,5.0
1916,474.0,3616.0,12.0,0.0,6.0
1917,184.0,69.0,44.0,103.0,6.0
1918,275.0,2196.0,3.0,0.0,11.0
1919,597.0,3743.0,64.0,53.0,11.0
1920,672.0,10783.0,110.0,49.0,12.0
1921,177.0,,,,0.0
1922,500.0,8266.0,294.0,9.0,10.0
1923,606.0,32215.0,132.0,9.0,7.0
1924,399.0,74.0,4.0,87.0,8.0
1925,283.0,49.0,5.0,96.0,9.0
1926,603.0,452.0,,,0.0
1927,342.0,1453.0,5.0,33.0,13.0
1928,227.0,21.0,92.0,24.0,13.0
1929,260.0,,,,12.0
1930,591.0,5373.0,106.0,4.0,11.0
1931,616.0,7318.0,78.0,32.0,10.0
1932,553.0,1129.0,,,1.0
1933,280.0,38.0,2.0,63.0,1.0
1934,337.0,586.0,68.0,89.0,11.0
1935,590.0,4684.0,107.0,55.0,10.0
1936,497.0,14888.0,49.0,65.0,10.0
1937,651.0,726.0,,,1.0
1938,626.0,36328.0,93.0,16.0,10.0
1939,205.0,,,,8.0
1940,360.0,2611.0,18.0,89.0,8.0
1941,342.0,,,,14.0
1942,709.0,20967.0,312.0,39.0,11.0
1943,744.0,36869.0,162.0,40.0,12.0
1944,583.0,1414.0,116.0,62.0,6.0
1945,528.0,3695.0,123.0,,8.0
1946,329.0,322.0,4.0,82.0,1.0
1947,244.0,,,,
1948,333.0,1935.0,60.0,,12.0
1949,487.0,1224.0,243.0,,8.0
1950,296.0,2105.0,66.0,86.0,11.0
1951,478.0,6760.0,110.0,53.0,8.0
1952,369.0,221.0,14.0,36.0,9.0
1953,506.0,2812.0,13.0,1.0,6.0
1954,597.0,11669.0,379.0,32.0,11.0
1955,313.0,,,,
1956,161.0,,,,0.0
1957,311.0,74.0,16.0,103.0,14.0
1958,399.0,3318.0,49.0,77.0,10.0
1959,372.0,318.0,61.0,56.0,13.0
1960,321.0,583.0,81.0,31.0,13.0
1961,435.0,759.0,47.0,90.0,9.0
1962,360.0,1274.0,52.0,104.0,13.0
1963,559.0,415.0,141.0,16.0,9.0
1964,371.0,195.0,13.0,84.0,10.0
1965,392.0,6664.0,142.0,68.0,10.0
1966,303.0,207.0,,,14.0
1967,305.0,835.0,0.0,,6.0
1968,318.0,,,,
1969,703.0,15269.0,200.0,0.0,12.0
1970,356.0,286.0,38.0,96.0,9.0
1971,420.0,2082.0,106.0,42.0,14.0
1972,472.0,5130.0,27.0,24.0,11.0
1973,239.0,,51.0,,11.0
1974,383.0,,,,11.0
1975,601.0,4540.0,68.0,45.0,13.0
1976,167.0,,48.0,,0.0
1977,643.0,925.0,213.0,80.0,9.0
1978,191.0,143.0,3.0,81.0,8.0
1979,589.0,6162.0,157.0,55.0,9.0
1980,295.0,,55.0,,5.0
1981,726.0,9263.0,165.0,36.0,9.0
1982,479.0,,,,
1983,581.0,10612.0,257.0,16.0,10.0
1984,207.0,1329.0,7.0,,12.0
1985,344.0,5955.0,280.0,68.0,10.0
1986,481.0,518.0,,,4.0
1987,358.0,,,,0.0
1988,615.0,11669.0,112.0,0.0,11.0
1989,555.0,3905.0,57.0,82.0,13.0
1990,654.0,,,,
1991,524.0,24035.0,59.0,42.0,10.0
1992,453.0,1224.0,13.0,6.0,6.0
1993,612.0,1730.0,217.0,36.0,13.0
1994,559.0,,,,
1995,621.0,2169.0,128.0,80.0,13.0
1996,650.0,,33.0,,6.0
1997,712.0,23577.0,111.0,51.0,11.0
1998,314.0,836.0,7.0,5.0,0.0
1999,428.0,,,,9.0
2000,211.0,,,,
2001,224.0,,,,
2002,326.0,312.0,74.0,,14.0
2003,715.0,9165.0,139.0,29.0,14.0
2004,698.0,4483.0,274.0,29.0,9.0
2005,325.0,,,,
2006,608.0,26061.0,176.0,18.0,14.0
2007,680.0,,162.0,,13.0
2008,456.0,8277.0,97.0,23.0,9.0
2009,309.0,,162.0,,11.0
2010,647.0,,108.0,,11.0
2011,674.0,,,,
2012,383.0,4190.0,33.0,89.0,9.0
2013,517.0,575.0,91.0,64.0,12.0
2014,240.0,,,,0.0
2015,644.0,7755.0,28.0,96.0,12.0
2016,532.0,,,,
2017,644.0,,,,
2018,384.0,,,,8.0
2019,261.0,129.0,79.0,,10.0
2020,381.0,,,,6.0
2021,700.0,9627.0,289.0,33.0,13.0
2022,522.0,8722.0,212.0,48.0,13.0
2023,306.0,,,,
2024,604.0,5114.0,89.0,0.0,1.0
2025,320.0,146.0,9.0,76.0,3.0
2026,756.0,61699.0,189.0,0.0,13.0
2027,544.0,1662.0,83.0,39.0,12.0
2028,575.0,6686.0,79.0,11.0,7.0
2029,402.0,2605.0,79.0,92.0,13.0
2030,398.0,,,,
2031,144.0,,,,5.0
2032,363.0,7366.0,93.0,91.0,12.0
2033,563.0,1997.0,175.0,68.0,7.0
2034,695.0,3062.0,91.0,24.0,8.0
2035,290.0,0.0,92.0,83.0,2.0
2036,687.0,15959.0,160.0,44.0,11.0
2037,273.0,279.0,30.0,,1.0
2038,421.0,1487.0,3.0,2.0,3.0
2039,420.0,908.0,50.0,31.0,10.0
2040,451.0,14714.0,80.0,101.0,11.0
2041,292.0,1259.0,63.0,58.0,11.0
2042,338.0,306.0,74.0,68.0,14.0
2043,403.0,1496.0,121.0,31.0,14.0
2044,396.0,3075.0,55.0,100.0,11.0
2045,541.0,13195.0,60.0,68.0,11.0
2046,291.0,,,,
2047,483.0,13788.0,113.0,58.0,12.0
2048,461.0,655.0,48.0,6.0,9.0
2049,678.0,14064.0,70.0,18.0,11.0
2050,469.0,2648.0,,,10.0
2051,476.0,297.0,79.0,,13.0
2052,378.0,,88.0,,7.0
2053,261.0,,,,
2054,414.0,184.0,,,11.0
2055,651.0,13733.0,116.0,3.0,9.0
2056,534.0,4105.0,82.0,92.0,10.0
2057,345.0,6131.0,38.0,46.0,12.0
2058,697.0,9471.0,185.0,70.0,13.0
2059,320.0,407.0,98.0,94.0,3.0
2060,511.0,9795.0,69.0,65.0,12.0
2061,751.0,14374.0,217.0,7.0,13.0
2062,550.0,459.0,94.0,84.0,13.0
2063,387.0,0.0,64.0,,10.0
2064,224.0,243.0,34.0,,12.0
2065,189.0,,,,
2066,676.0,32771.0,90.0,5.0,14.0
2067,304.0,1743.0,239.0,40.0,9.0
2068,191.0,,68.0,,2.0
2069,525.0,,,,8.0
2070,299.0,2212.0,69.0,46.0,14.0
2071,334.0,,,,
2072,412.0,1673.0,20.0,46.0,7.0
2073,749.0,14317.0,98.0,3.0,10.0
2074,469.0,5925.0,25.0,34.0,9.0
2075,405.0,,39.0,,14.0
2076,561.0,548.0,142.0,,13.0
2077,398.0,7100.0,137.0,49.0,10.0
2078,360.0,2009.0,,,6.0
2079,351.0,,81.0,,9.0
2080,477.0,36.0,83.0,94.0,7.0
2081,449.0,2817.0,14.0,73.0,12.0
2082,540.0,9279.0,107.0,46.0,10.0
2083,715.0,19920.0,98.0,23.0,11.0
2084,433.0,445.0,50.0,81.0,7.0
2085,341.0,3586.0,34.0,54.0,12.0
2086,306.0,,,,
2087,547.0,2445.0,42.0,2.0,10.0
2088,440.0,944.0,16.0,85.0,8.0
2089,266.0,2790.0,69.0,101.0,11.0
2090,422.0,1284.0,93.0,91.0,12.0
2091,344.0,470.0,35.0,81.0,13.0
2092,602.0,1443.0,225.0,,10.0
2093,648.0,6862.0,226.0,72.0,9.0
2094,533.0,9118.0,175.0,102.0,13.0
2095,336.0,269.0,92.0,91.0,9.0
2096,626.0,20292.0,115.0,8.0,10.0
2097,416.0,717.0,6.0,1.0,0.0
2098,726.0,19169.0,189.0,53.0,9.0
2099,409.0,1636.0,43.0,74.0,12.0
2100,642.0,3564.0,102.0,43.0,12.0
2101,612.0,8712.0,193.0,7.0,3.0
2102,339.0,281.0,,,10.0
2103,680.0,15569.0,74.0,10.0,11.0
2104,290.0,1039.0,50.0,5.0,9.0
2105,476.0,4589.0,99.0,8.0,11.0
2106,709.0,8274.0,152.0,4.0,12.0
2107,457.0,4492.0,113.0,8.0,9.0
2108,375.0,826.0,49.0,100.0,9.0
2109,328.0,273.0,103.0,,13.0
2110,678.0,21570.0,110.0,24.0,9.0
2111,300.0,2184.0,36.0,67.0,13.0
2112,345.0,274.0,,,9.0
2113,250.0,1080.0,30.0,,14.0
2114,203.0,0.0,63.0,,7.0
2115,732.0,5395.0,89.0,0.0,14.0
2116,430.0,10563.0,65.0,31.0,10.0
2117,477.0,6045.0,84.0,,0.0
2118,322.0,201.0,12.0,95.0,4.0
2119,283.0,284.0,69.0,65.0,5.0
2120,182.0,,44.0,,0.0
2121,719.0,45981.0,163.0,58.0,13.0
2122,668.0,23415.0,146.0,20.0,14.0
2123,398.0,784.0,49.0,101.0,11.0
2124,321.0,3312.0,96.0,83.0,11.0
2125,359.0,,,,
2126,307.0,,,,
2127,414.0,1147.0,20.0,62.0,14.0
2128,320.0,,,,
2129,468.0,332.0,204.0,92.0,12.0
2130,411.0,816.0,47.0,,1.0
2131,341.0,2662.0,213.0,74.0,12.0
2132,402.0,1469.0,152.0,88.0,10.0
2133,760.0,18336.0,100.0,5.0,14.0
2134,326.0,294.0,10.0,92.0,9.0
2135,379.0,2885.0,122.0,8.0,9.0
2136,298.0,212.0,92.0,,7.0
2137,686.0,817.0,,,9.0
2138,299.0,848.0,25.0,60.0,12.0
2139,494.0,8474.0,64.0,0.0,9.0
2140,497.0,7172.0,107.0,21.0,14.0
2141,427.0,,22.0,,
2142,557.0,2519.0,,,9.0
2143,276.0,,42.0,,9.0
2144,495.0,1032.0,,,11.0
2145,251.0,,,,
2146,285.0,291.0,109.0,,11.0
2147,353.0,2268.0,53.0,66.0,10.0
2148,406.0,682.0,48.0,95.0,9.0
2149,269.0,143.0,3.0,65.0,0.0
2150,485.0,825.0,13.0,66.0,14.0
2151,481.0,,,,
2152,623.0,16893.0,185.0,36.0,12.0
2153,345.0,309.0,30.0,86.0,9.0
2154,504.0,594.0,163.0,21.0,5.0
2155,661.0,6993.0,147.0,7.0,13.0
2156,456.0,754.0,30.0,38.0,9.0
2157,438.0,4957.0,24.0,0.0,8.0
2158,485.0,22.0,,,0.0
2159,586.0,19646.0,81.0,7.0,11.0
2160,648.0,11958.0,110.0,11.0,10.0
2161,651.0,18745.0,132.0,3.0,9.0
2162,470.0,10943.0,311.0,62.0,14.0
2163,340.0,479.0,,,14.0
2164,477.0,2510.0,112.0,100.0,12.0
2165,383.0,2910.0,115.0,91.0,12.0
2166,635.0,3235.0,57.0,3.0,11.0
2167,310.0,1420.0,149.0,89.0,9.0
2168,377.0,2548.0,18.0,80.0,11.0
2169,390.0,,,,
2170,499.0,3694.0,34.0,98.0,12.0
2171,321.0,1847.0,10.0,32.0,5.0
2172,276.0,563.0,34.0,10.0,6.0
2173,664.0,10612.0,240.0,,4.0
2174,738.0,25721.0,224.0,13.0,11.0
2175,621.0,26142.0,146.0,0.0,13.0
2176,595.0,12221.0,150.0,20.0,14.0
2177,367.0,276.0,12.0,105.0,12.0
2178,547.0,3450.0,65.0,,11.0
2179,603.0,12847.0,176.0,43.0,12.0
2180,757.0,13314.0,324.0,21.0,12.0
2181,600.0,1298.0,81.0,86.0,9.0
2182,467.0,532.0,13.0,7.0,8.0
2183,201.0,301.0,67.0,,9.0
2184,452.0,2585.0,93.0,,14.0
2185,624.0,13611.0,319.0,6.0,14.0
2186,681.0,311.0,,,0.0
2187,289.0,,31.0,,10.0
2188,737.0,16534.0,172.0,10.0,12.0
2189,496.0,30354.0,236.0,70.0,13.0
2190,352.0,390.0,1.0,,
2191,331.0,0.0,43.0,,4.0
2192,267.0,548.0,191.0,0.0,7.0
2193,703.0,8284.0,95.0,5.0,9.0
2194,302.0,94.0,71.0,79.0,8.0
2195,339.0,1322.0,90.0,77.0,11.0
2196,457.0,,,,
2197,724.0,6232.0,175.0,6.0,10.0
2198,641.0,5859.0,100.0,63.0,7.0
2199,346.0,,,,
2200,334.0,,,,
2201,696.0,22825.0,128.0,44.0,13.0
2202,480.0,4333.0,18.0,35.0,8.0
2203,342.0,264.0,57.0,,2.0
2204,401.0,11668.0,24.0,42.0,11.0
2205,394.0,,,,
2206,596.0,3729.0,97.0,5.0,7.0
2207,580.0,3451.0,19.0,17.0,12.0
2208,363.0,0.0,,,4.0
2209,250.0,571.0,41.0,87.0,9.0
2210,329.0,,41.0,,13.0
2211,420.0,7682.0,91.0,83.0,12.0
2212,710.0,6442.0,54.0,0.0,12.0
2213,207.0,,,,
2214,459.0,145.0,,,2.0
2215,276.0,,,,
2216,345.0,712.0,272.0,,12.0
2217,481.0,2440.0,129.0,0.0,14.0
2218,285.0,204.0,75.0,89.0,12.0
2219,356.0,944.0,49.0,106.0,12.0
2220,572.0,16151.0,13.0,4.0,2.0
2221,318.0,,106.0,,14.0
2222,598.0,69687.0,142.0,41.0,11.0
2223,501.0,204.0,140.0,103.0,2.0
2224,268.0,,,,
2225,265.0,1203.0,21.0,67.0,14.0
2226,256.0,,,,
2227,549.0,10432.0,215.0,78.0,11.0
2228,677.0,39829.0,276.0,78.0,11.0
2229,354.0,1137.0,188.0,76.0,4.0
2230,390.0,5200.0,141.0,85.0,12.0
2231,294.0,4530.0,59.0,67.0,14.0
2232,369.0,2748.0,241.0,78.0,9.0
2233,271.0,1450.0,69.0,55.0,13.0
2234,748.0,17390.0,148.0,10.0,14.0
2235,655.0,2252.0,97.0,0.0,12.0
2236,406.0,62.0,27.0,104.0,8.0
2237,567.0,2661.0,90.0,34.0,7.0
2238,644.0,12390.0,72.0,25.0,7.0
2239,208.0,,,,
2240,699.0,6717.0,62.0,10.0,8.0
2241,287.0,,,,
2242,379.0,,,,
2243,620.0,3989.0,113.0,,10.0
2244,679.0,40653.0,276.0,0.0,10.0
2245,246.0,,,,
2246,634.0,24188.0,81.0,69.0,11.0
2247,410.0,269.0,168.0,,11.0
2248,301.0,1185.0,57.0,87.0,10.0
2249,714.0,4602.0,,,9.0
2250,563.0,2039.0,26.0,31.0,11.0
2251,295.0,,,,
2252,270.0,2037.0,6.0,28.0,7.0
2253,306.0,2053.0,46.0,80.0,9.0
2254,772.0,68448.0,173.0,15.0,13.0
2255,222.0,57.0,67.0,,10.0
2256,490.0,1009.0,21.0,94.0,9.0
2257,426.0,,,,0.0
2258,673.0,8775.0,142.0,,1.0
2259,590.0,1429.0,,,1.0
2260,373.0,,,,
2261,196.0,,,,
2262,323.0,,,,
2263,434.0,3549.0,14.0,1.0,11.0
2264,263.0,,,,0.0
2265,467.0,,,,
2266,344.0,3360.0,78.0,99.0,11.0
2267,654.0,29932.0,298.0,0.0,10.0
2268,776.0,16472.0,238.0,18.0,10.0
2269,383.0,914.0,52.0,72.0,10.0
2270,505.0,1421.0,,,9.0
2271,370.0,,97.0,,
2272,563.0,15668.0,155.0,90.0,13.0
2273,397.0,36518.0,63.0,83.0,10.0
2274,395.0,493.0,99.0,87.0,5.0
2275,355.0,2734.0,101.0,44.0,10.0
2276,346.0,1085.0,84.0,58.0,10.0
2277,323.0,,,,
2278,344.0,686.0,167.0,84.0,14.0
2279,660.0,12734.0,40.0,0.0,14.0
2280,442.0,2038.0,,,9.0
2281,386.0,2445.0,98.0,88.0,14.0
2282,619.0,1826.0,160.0,6.0,11.0
2283,351.0,2422.0,57.0,81.0,10.0
2284,240.0,86.0,,,2.0
2285,407.0,3131.0,60.0,21.0,9.0
2286,545.0,54718.0,326.0,63.0,14.0
2287,350.0,3430.0,64.0,78.0,9.0
2288,381.0,1359.0,132.0,70.0,9.0
2289,361.0,1162.0,8.0,36.0,10.0
2290,382.0,4277.0,124.0,7.0,13.0
2291,251.0,,,,6.0
2292,477.0,170.0,,,12.0
2293,371.0,221.0,43.0,,11.0
2294,566.0,4273.0,32.0,49.0,14.0
2295,309.0,,,,
2296,370.0,1572.0,272.0,97.0,12.0
2297,792.0,16525.0,200.0,21.0,9.0
2298,420.0,4384.0,11.0,54.0,10.0
2299,557.0,16294.0,151.0,0.0,10.0
2300,736.0,4846.0,305.0,22.0,11.0
2301,673.0,9077.0,24.0,0.0,14.0
2302,333.0,10.0,,,10.0
2303,518.0,536.0,84.0,71.0,5.0
2304,476.0,1656.0,24.0,99.0,9.0
2305,435.0,,238.0,,9.0
2306,473.0,,,,10.0
2307,360.0,900.0,34.0,61.0,9.0
2308,657.0,3724.0,164.0,,4.0
2309,552.0,1849.0,57.0,67.0,9.0
2310,489.0,1145.0,62.0,7.0,9.0
2311,334.0,,,,
2312,278.0,,112.0,,10.0
2313,736.0,14754.0,207.0,17.0,11.0
2314,442.0,14392.0,156.0,34.0,14.0
2315,132.0,599.0,,,10.0
2316,538.0,4582.0,111.0,12.0,8.0
2317,458.0,1584.0,28.0,,0.0
2318,338.0,548.0,13.0,87.0,10.0
2319,537.0,4740.0,153.0,81.0,14.0
2320,666.0,51023.0,163.0,47.0,13.0
2321,721.0,35572.0,295.0,28.0,13.0
2322,422.0,278.0,42.0,90.0,12.0
2323,152.0,,,,2.0
2324,570.0,10887.0,77.0,0.0,11.0
2325,573.0,15929.0,109.0,5.0,13.0
2326,568.0,11913.0,77.0,72.0,9.0
2327,628.0,5829.0,167.0,0.0,10.0
2328,794.0,24370.0,226.0,58.0,10.0
2329,443.0,,,,12.0
2330,381.0,,86.0,,6.0
2331,405.0,,,,8.0
2332,549.0,1031.0,182.0,6.0,11.0
2333,234.0,,,,
2334,280.0,1102.0,7.0,87.0,8.0
2335,285.0,,,,11.0
2336,620.0,14250.0,196.0,2.0,13.0
2337,315.0,,,,
2338,350.0,353.0,22.0,72.0,9.0
2339,548.0,2874.0,81.0,83.0,10.0
2340,323.0,1021.0,16.0,,10.0
2341,261.0,,36.0,,3.0
2342,437.0,1017.0,25.0,41.0,9.0
2343,756.0,3984.0,209.0,14.0,10.0
2344,335.0,1121.0,35.0,26.0,11.0
2345,780.0,40775.0,154.0,16.0,12.0
2346,625.0,16693.0,186.0,9.0,9.0
2347,297.0,288.0,196.0,66.0,12.0
2348,717.0,11484.0,99.0,43.0,9.0
2349,444.0,114.0,8.0,,1.0
2350,270.0,,,,
2351,432.0,1203.0,16.0,80.0,13.0
2352,403.0,2239.0,40.0,79.0,14.0
2353,302.0,,,,
2354,460.0,,,,
2355,388.0,62.0,23.0,,10.0
2356,398.0,3490.0,17.0,101.0,12.0
2357,376.0,3513.0,105.0,87.0,9.0
2358,440.0,3286.0,113.0,,10.0
2359,503.0,269.0,22.0,99.0,9.0
2360,438.0,2233.0,92.0,93.0,13.0
2361,433.0,789.0,245.0,,12.0
2362,273.0,274.0,,,9.0
2363,404.0,537.0,,,0.0
2364,435.0,3333.0,98.0,78.0,12.0
2365,502.0,18389.0,171.0,21.0,13.0
2366,650.0,21166.0,181.0,11.0,8.0
2367,244.0,61.0,51.0,81.0,14.0
2368,269.0,411.0,,,0.0
2369,457.0,335.0,,,11.0
2370,298.0,2038.0,11.0,77.0,12.0
2371,685.0,15009.0,323.0,0.0,0.0
2372,449.0,,78.0,,
2373,349.0,4793.0,42.0,82.0,10.0
2374,747.0,5779.0,261.0,7.0,13.0
2375,662.0,2098.0,104.0,86.0,9.0
2376,494.0,2043.0,,,0.0
2377,348.0,1794.0,,,8.0
2378,397.0,1054.0,37.0,106.0,13.0
2379,721.0,19757.0,222.0,8.0,13.0
2380,241.0,,47.0,,13.0
2381,454.0,246.0,96.0,102.0,12.0
2382,394.0,1631.0,90.0,63.0,13.0
2383,521.0,412.0,69.0,98.0,14.0
2384,479.0,86211.0,71.0,10.0,10.0
2385,616.0,2421.0,86.0,,4.0
2386,660.0,6518.0,84.0,5.0,2.0
2387,351.0,2018.0,0.0,,13.0
2388,299.0,,81.0,,10.0
2389,214.0,,85.0,,1.0
2390,635.0,26993.0,267.0,84.0,13.0
2391,397.0,103.0,52.0,96.0,10.0
2392,361.0,,,,
2393,179.0,,74.0,,1.0
2394,759.0,49470.0,284.0,15.0,9.0
2395,704.0,12183.0,102.0,0.0,10.0
2396,683.0,4826.0,96.0,20.0,4.0
2397,748.0,10558.0,110.0,17.0,14.0
2398,449.0,683.0,76.0,92.0,9.0
2399,493.0,8209.0,66.0,28.0,14.0
2400,599.0,1127.0,91.0,,12.0
2401,287.0,582.0,18.0,69.0,7.0
2402,482.0,3005.0,171.0,57.0,10.0
2403,452.0,4089.0,238.0,102.0,10.0
2404,437.0,1082.0,,,0.0
2405,748.0,8856.0,135.0,30.0,9.0
2406,405.0,730.0,63.0,28.0,11.0
2407,257.0,284.0,18.0,14.0,11.0
2408,478.0,5585.0,110.0,78.0,10.0
2409,462.0,,,,
2410,286.0,,40.0,,8.0
2411,508.0,1174.0,18.0,78.0,14.0
2412,672.0,2386.0,54.0,71.0,11.0
2413,506.0,4993.0,74.0,0.0,11.0
2414,538.0,15285.0,152.0,0.0,13.0
2415,274.0,609.0,83.0,82.0,6.0
2416,500.0,921.0,106.0,102.0,5.0
2417,587.0,2607.0,69.0,0.0,12.0
2418,249.0,122.0,118.0,49.0,6.0
2419,638.0,4859.0,52.0,14.0,9.0
2420,518.0,1956.0,23.0,5.0,11.0
2421,498.0,231.0,78.0,60.0,12.0
2422,663.0,8101.0,160.0,92.0,10.0
2423,208.0,0.0,63.0,87.0,8.0
2424,457.0,586.0,119.0,1.0,5.0
2425,351.0,,166.0,,13.0
2426,634.0,10248.0,127.0,105.0,10.0
2427,196.0,0.0,65.0,98.0,8.0
2428,224.0,,,,
2429,608.0,797.0,45.0,,1.0
2430,385.0,109.0,126.0,101.0,11.0
2431,372.0,13071.0,45.0,0.0,13.0
2432,684.0,18865.0,164.0,98.0,12.0
2433,325.0,542.0,44.0,108.0,13.0
2434,449.0,4438.0,78.0,101.0,12.0
2435,482.0,956.0,5.0,5.0,0.0
2436,385.0,209.0,42.0,101.0,11.0
2437,454.0,2965.0,205.0,,0.0
2438,418.0,1837.0,167.0,82.0,13.0
2439,379.0,2841.0,101.0,10.0,10.0
2440,431.0,988.0,31.0,,13.0
2441,190.0,444.0,60.0,53.0,7.0
2442,666.0,17933.0,228.0,60.0,12.0
2443,400.0,17950.0,161.0,25.0,9.0
2444,779.0,11809.0,213.0,0.0,7.0
2445,514.0,6904.0,143.0,80.0,11.0
2446,405.0,72.0,36.0,89.0,12.0
2447,379.0,693.0,,,9.0
2448,503.0,774.0,,,6.0
2449,336.0,4766.0,68.0,19.0,12.0
2450,570.0,3681.0,79.0,0.0,10.0
2451,564.0,17151.0,5.0,19.0,9.0
2452,441.0,2279.0,,,0.0
2453,331.0,,,,
2454,343.0,2268.0,247.0,12.0,4.0
2455,699.0,17152.0,209.0,58.0,12.0
2456,415.0,4407.0,80.0,64.0,11.0
2457,435.0,3433.0,29.0,93.0,9.0
2458,510.0,2858.0,34.0,2.0,1.0
2459,488.0,2477.0,48.0,57.0,10.0
2460,337.0,3316.0,88.0,0.0,12.0
2461,587.0,17626.0,103.0,7.0,11.0
2462,560.0,10389.0,80.0,47.0,11.0
2463,646.0,4962.0,105.0,,11.0
2464,473.0,4446.0,120.0,73.0,9.0
2465,264.0,473.0,16.0,62.0,9.0
2466,549.0,539.0,,,0.0
2467,395.0,1617.0,172.0,91.0,11.0
2468,624.0,9636.0,244.0,18.0,5.0
2469,412.0,6185.0,,,8.0
2470,627.0,8512.0,23.0,4.0,10.0
2471,369.0,5162.0,11.0,77.0,8.0
2472,396.0,,,,
2473,303.0,35.0,55.0,105.0,5.0
2474,476.0,7552.0,44.0,34.0,10.0
2475,447.0,12.0,21.0,,12.0
2476,355.0,,,,
2477,772.0,17894.0,80.0,,14.0
2478,341.0,2415.0,34.0,83.0,13.0
2479,403.0,6622.0,97.0,0.0,9.0
2480,309.0,,,,
2481,689.0,9290.0,233.0,71.0,9.0
2482,687.0,7944.0,87.0,9.0,7.0
2483,523.0,5314.0,31.0,98.0,13.0
2484,317.0,640.0,61.0,73.0,8.0
2485,539.0,13940.0,126.0,51.0,4.0
2486,317.0,479.0,,,0.0
2487,472.0,6066.0,39.0,0.0,14.0
2488,313.0,789.0,,,0.0
2489,527.0,2695.0,49.0,54.0,13.0
2490,335.0,6.0,,,13.0
2491,628.0,18655.0,189.0,9.0,11.0
2492,417.0,1179.0,10.0,25.0,1.0
2493,402.0,6388.0,413.0,43.0,10.0
2494,368.0,2850.0,194.0,80.0,9.0
2495,417.0,1117.0,20.0,25.0,8.0
2496,465.0,7759.0,65.0,10.0,9.0
2497,562.0,5946.0,198.0,5.0,14.0
2498,432.0,4514.0,40.0,50.0,10.0
2499,492.0,2068.0,,,4.0
2500,722.0,13270.0,108.0,,0.0
2501,503.0,10030.0,187.0,94.0,14.0
2502,351.0,4697.0,90.0,68.0,8.0
2503,318.0,,,,3.0
2504,609.0,,,,14.0
2505,676.0,5798.0,64.0,80.0,13.0
2506,579.0,3358.0,92.0,68.0,8.0
2507,194.0,672.0,5.0,44.0,3.0
2508,379.0,3666.0,29.0,19.0,14.0
2509,337.0,346.0,167.0,85.0,10.0
2510,347.0,125.0,49.0,67.0,11.0
2511,420.0,665.0,137.0,100.0,14.0
2512,650.0,7229.0,193.0,30.0,12.0
2513,644.0,1551.0,61.0,89.0,11.0
2514,715.0,9052.0,270.0,44.0,13.0
2515,623.0,13235.0,216.0,0.0,14.0
2516,457.0,836.0,29.0,76.0,4.0
2517,403.0,26.0,11.0,31.0,8.0
2518,718.0,15249.0,111.0,72.0,6.0
2519,374.0,2334.0,36.0,86.0,13.0
2520,493.0,3016.0,124.0,37.0,12.0
2521,375.0,1374.0,55.0,91.0,12.0
2522,312.0,1078.0,,,0.0
2523,186.0,,,,
2524,333.0,1360.0,1.0,21.0,7.0
2525,580.0,7718.0,46.0,20.0,12.0
2526,275.0,189.0,,,10.0
2527,352.0,,,,
2528,422.0,3138.0,222.0,69.0,9.0
